# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1393466
#@/user_id	jysperm
a 	ㄚ	c=1 d=5.42744e-76 t=1393466
ai guo 	愛國	c=4 d=0.0679328 t=1393466
ai guo zhe 	愛國者	c=1 d=2.41413e-192 t=1393466
ai hao 	愛好	c=13 d=9.48097e-21 t=1393466
ai hao qi shi 	愛好其實	c=1 d=0 t=1393466
ai hao zhe 	愛好者	c=6 d=0.0115624 t=1393466
ai jia ai hu 	挨家挨戶	c=1 d=4.63047e-90 t=1393466
ai kan 	愛看	c=0 d=0 t=1393466
ai lai 	愛來	c=1 d=0 t=1393466
ai li 	愛裏	c=1 d=0 t=1393466
ai mei 	曖昧	c=2 d=2.03137e-73 t=1393466
ai ne 	愛呢	c=1 d=1.45911e-92 t=1393466
ai pa pa 	矮趴趴	c=2 d=0 t=1393466
ai pai 	唉拍	c=1 d=6.0887e-105 t=1393466
ai qing 	愛情	c=4 d=6.0684e-08 t=1393466
ai qing gong yu 	愛情公寓	c=3 d=6.09882e-07 t=1393466
ai qing gong yu de 	愛情公寓的	c=1 d=1.25989e-12 t=1393466
ai qing gu shi 	愛情故事	c=1 d=0 t=1393466
ai ren 	愛人	c=1 d=0.0190139 t=1393466
ai shang 	愛上	c=1 d=1 t=1393466
ai su 	哀訴	c=0 d=0 t=1393466
ai wan 	愛玩	c=1 d=1.65462e-42 t=1393466
ai wu 	愛物	c=0 d=3.02368e-224 t=1393466
ai xin 	愛心	c=1 d=0 t=1393466
ai ya 	哎呀	c=1 d=0 t=1393466
ai yan 	礙眼	c=1 d=2.64173e-105 t=1393466
ai yong 	愛用	c=1 d=0 t=1393466
ai zhe 	挨着	c=2 d=9.62076e-193 t=1393466
ai zheng 	癌症	c=2 d=9.42574e-158 t=1393466
ai zhi 	愛之	c=0 d=2.78825e-94 t=1393466
an 	安	c=16 d=3.06059e-13 t=1393466
an 	岸	c=1 d=1.97341e-56 t=1393466
an 	按	c=565 d=0.402677 t=1393466
an 	暗	c=7 d=2.23199e-34 t=1393466
an 	案	c=5 d=3.24345e-78 t=1393466
an an 	暗暗	c=0 d=0 t=1393466
an an ding ding 	安安定定	c=0 d=9.53507e-177 t=1393466
an an hen zao 	暗暗很早	c=1 d=0 t=1393466
an an wen wen 	安安穩穩	c=0 d=8.3727e-177 t=1393466
an bei jing 	按北京	c=1 d=1.38188e-158 t=1393466
an bi li 	按比例	c=6 d=1.3606e-05 t=1393466
an bian 	岸邊	c=2 d=1.29946e-111 t=1393466
an bu xia qu 	按不下去	c=1 d=0 t=1393466
an chu 	暗處	c=1 d=0 t=1393466
an ci shu 	按次數	c=1 d=0 t=1393466
an dao 	按到	c=3 d=1.95623e-12 t=1393466
an dong ni 	安東尼	c=1 d=0 t=1393466
an dun 	安頓	c=1 d=6.61133e-162 t=1393466
an fen 	安分	c=1 d=0 t=1393466
an fen zhong 	按分鐘	c=1 d=2.46549e-175 t=1393466
an fu 	安撫	c=3 d=5.68904e-71 t=1393466
an fu wu 	按服務	c=1 d=0 t=1393466
an fu xian 	安福縣	c=1 d=8.12031e-257 t=1393466
an ge 	安格	c=3 d=2.39783e-83 t=1393466
an hao 	暗號	c=1 d=1.45886e-90 t=1393466
an hei 	暗黑	c=13 d=0.475084 t=1393466
an hei po huai shen 	暗黑破壞神	c=3 d=0.151829 t=1393466
an hui 	安徽	c=1 d=0.612626 t=1393466
an ji hua 	按計劃	c=9 d=3.10684e-13 t=1393466
an jian 	安檢	c=7 d=2.09444e-21 t=1393466
an jian 	按鍵	c=26 d=2.084e-21 t=1393466
an jian 	案件	c=20 d=7.94778e-34 t=1393466
an jian fu za 	案件複雜	c=1 d=7.5143e-80 t=1393466
an jing 	安靜	c=7 d=3.98251e-140 t=1393466
an jing dian 	按經典	c=1 d=0 t=1393466
an ju 	安居	c=0 d=0 t=1393466
an ju ke 	安居客	c=4 d=7.06804e-95 t=1393466
an jun wen 	按俊文	c=1 d=1 t=1366089
an ke 	暗刻	c=2 d=0 t=1393466
an lai shuo 	按來說	c=1 d=1.47814e-68 t=1393466
an lao ban 	安老闆	c=1 d=0 t=1393466
an le 	按了	c=3 d=0 t=1393466
an li 	安利	c=27 d=2.82768e-23 t=1393466
an li 	按理	c=4 d=0 t=1393466
an li 	案例	c=14 d=5.22838e-30 t=1393466
an li lai shuo 	按理來說	c=1 d=0 t=1393466
an li shuo 	按理說	c=106 d=0.000916453 t=1393466
an li shuo shi 	按理說是	c=1 d=0 t=1393466
an li shuo you 	按理說有	c=1 d=0 t=1393466
an liang 	安良	c=9 d=7.10854e-74 t=1393466
an liang 	按量	c=5 d=1.64923e-33 t=1393466
an liang fu fei 	按量付費	c=3 d=0 t=1393466
an liu cheng 	按流程	c=1 d=1 t=1385730
an long 	安龍	c=72 d=5.02259e-17 t=1393466
an long shuo 	安龍說	c=1 d=0 t=1393466
an long shuo ru guo 	安龍說如果	c=1 d=0 t=1393466
an lu you 	按路由	c=1 d=3.05259e-41 t=1393466
an miao 	按秒	c=2 d=0 t=1393466
an ming ci 	按名次	c=0 d=0 t=1393466
an mo 	按摩	c=3 d=2.72764e-11 t=1393466
an mo kuai 	按模塊	c=1 d=0 t=1393466
an ni 	安妮	c=18 d=1.51721e-22 t=1393466
an ni 	按你	c=4 d=1.16041e-15 t=1393466
an nian 	按年	c=13 d=4.12196e-45 t=1393466
an nian ling 	按年齡	c=1 d=4.13491e-170 t=1393466
an niu 	按鈕	c=226 d=0.137381 t=1393466
an niu bei 	按鈕被	c=1 d=0 t=1393466
an niu jia dao 	按鈕加到	c=1 d=1 t=1371884
an pai 	安排	c=76 d=0.0147607 t=1393466
an pai dao 	安排到	c=1 d=0 t=1393466
an pai de 	安排得	c=1 d=3.0915e-278 t=1393466
an pai ge 	安排個	c=1 d=0 t=1393466
an pai hao 	安排好	c=1 d=1.50857e-43 t=1393466
an pai sha 	安排啥	c=1 d=3.56391e-157 t=1393466
an pai shang 	安排上	c=1 d=0.143704 t=1393466
an pai wo 	安排我	c=1 d=7.43911e-285 t=1393466
an pai xia 	安排下	c=1 d=1 t=1341967
an pai yi ci a 	安排一次啊	c=1 d=4.15193e-42 t=1393466
an qi lai 	按起來	c=1 d=1 t=1381494
an qu 	暗渠	c=0 d=0 t=1393466
an qu a 	按去啊	c=1 d=0 t=1393466
an qu ang 	暗渠昂	c=2 d=1.88692e-205 t=1393466
an qu yu 	按區域	c=1 d=0 t=1393466
an quan 	安全	c=287 d=0.205585 t=1393466
an quan ba 	安全吧	c=1 d=0 t=1393466
an quan ce lve 	安全策略	c=1 d=4.04748e-07 t=1393466
an quan dai 	安全帶	c=1 d=0.13068 t=1393466
an quan de 	安全的	c=1 d=1 t=1369757
an quan di 	安全地	c=2 d=0 t=1393466
an quan fa 	安全法	c=6 d=6.75517e-33 t=1393466
an quan fang mian 	安全方面	c=1 d=0 t=1393466
an quan gan 	安全感	c=24 d=5.05551e-35 t=1393466
an quan ji zhi 	安全機制	c=2 d=3.86334e-18 t=1393466
an quan kao lv 	安全考慮	c=1 d=1 t=1383903
an quan lou dong 	安全漏洞	c=1 d=3.1776e-72 t=1393466
an quan quan 	安全圈	c=1 d=0 t=1393466
an quan she zhi 	安全設置	c=1 d=2.32453e-247 t=1393466
an quan shui mian 	安全睡眠	c=1 d=1 t=1381519
an quan wen ti 	安全問題	c=2 d=1.18648e-41 t=1393466
an quan xi shu 	安全係數	c=1 d=6.32385e-139 t=1393466
an quan xing 	安全性	c=26 d=0.121238 t=1393466
an quan yi shi 	安全意識	c=1 d=2.34502e-262 t=1393466
an quan yin huan 	安全隱患	c=4 d=3.28753e-31 t=1393466
an quan yu ming 	安全域名	c=3 d=1.27603e-191 t=1393466
an quan yuan 	安全員	c=1 d=7.9521e-11 t=1393466
an quan zhi nan 	安全指南	c=1 d=0 t=1393466
an quan zhong xin 	安全中心	c=2 d=4.12226e-134 t=1393466
an quan zu 	安全組	c=1 d=0 t=1393466
an ri 	按日	c=6 d=0.000102124 t=1393466
an se 	暗色	c=2 d=0 t=1393466
an se diao 	暗色調	c=2 d=0 t=1393466
an shan 	鞍山	c=1 d=0 t=1393466
an shan yan 	安山岩	c=0 d=0.1 t=1343054
an shan yan nei cun 	安山岩內存	c=1 d=1 t=1343055
an shang 	岸上	c=4 d=3.07401e-09 t=1393466
an she ji 	按設計	c=1 d=1.53029e-211 t=1393466
an shi 	按時	c=12 d=2.50281e-64 t=1393466
an shi 	暗示	c=2 d=2.4379e-219 t=1393466
an shi jian 	按時間	c=2 d=1.26345e-104 t=1393466
an shi li 	按實例	c=1 d=7.44291e-291 t=1393466
an shun xu 	按順序	c=8 d=1.08436e-41 t=1393466
an shuo 	按說	c=215 d=0.160684 t=1393466
an shuo shi 	按說是	c=1 d=3.63367e-91 t=1393466
an shuo zai 	按說在	c=1 d=1 t=1388468
an shuo zhe ge 	按說這個	c=1 d=1.14032e-221 t=1393466
an suan 	暗算	c=1 d=0 t=1393466
an suo 	暗鎖	c=1 d=8.49717e-85 t=1393466
an ta 	按他	c=2 d=2.59933e-238 t=1393466
an tian 	按天	c=29 d=7.37374e-05 t=1393466
an tiao jian 	按條件	c=2 d=0 t=1393466
an ting 	安亭	c=1 d=8.11091e-214 t=1393466
an tu sheng 	安徒生	c=1 d=1.3547e-189 t=1393466
an wan 	按完	c=1 d=0 t=1393466
an wan le 	按完了	c=1 d=0 t=1393466
an wang 	暗網	c=4 d=0 t=1393466
an wei 	安慰	c=6 d=2.15568e-154 t=1393466
an wei ji 	安慰劑	c=3 d=5.84039e-27 t=1393466
an wen 	安穩	c=2 d=1.80946e-65 t=1393466
an wo 	安臥	c=1 d=4.29196e-138 t=1393466
an wo 	按我	c=55 d=8.21302e-06 t=1393466
an wo de 	按我的	c=14 d=1.00051e-06 t=1393466
an wo men 	按我們	c=5 d=9.11823e-62 t=1393466
an wo men zhi qian 	按我們之前	c=1 d=3.92497e-204 t=1393466
an wo nei cun 	按我內存	c=1 d=7.94347e-57 t=1393466
an wu tian ri 	暗無天日	c=1 d=1.34729e-07 t=1393466
an xia 	按下	c=2 d=1.14528e-37 t=1393466
an xin 	安心	c=4 d=8.29805e-12 t=1393466
an xu 	按需	c=10 d=2.5253e-16 t=1393466
an xu ding zhi 	按需定製	c=1 d=2.91692e-300 t=1393466
an yi 	安逸	c=2 d=1.00686e-51 t=1393466
an yi xian 	安義縣	c=1 d=0 t=1393466
an ying yong 	按應用	c=2 d=9.60806e-295 t=1393466
an yong liang 	按用量	c=1 d=0 t=1393466
an yu 	安於	c=1 d=0 t=1393466
an yu yan 	按語言	c=1 d=6.72949e-47 t=1393466
an yue 	按月	c=11 d=9.51627e-92 t=1393466
an zai 	按在	c=1 d=2.6522e-269 t=1393466
an zha 	安扎	c=1 d=0 t=1393466
an zhang ban shi 	按章辦事	c=1 d=0 t=1393466
an zhao 	按照	c=948 d=0.809058 t=1393466
an zhao gui ze 	按照規則	c=1 d=0 t=1393466
an zhao ni 	按照你	c=1 d=0 t=1393466
an zhao qu 	按照去	c=1 d=1.88102e-227 t=1393466
an zhao wo 	按照我	c=1 d=0 t=1393466
an zhao zhe 	按照着	c=1 d=1 t=1370796
an zhe 	按着	c=1 d=2.17736e-301 t=1393466
an zhe ge 	按這個	c=1 d=7.31216e-259 t=1393466
an zhe li 	按這裏	c=1 d=0 t=1393466
an zhe pian 	按這篇	c=1 d=0 t=1393466
an zhong 	暗中	c=4 d=2.24999e-99 t=1393466
an zhu 	按住	c=8 d=6.67919e-282 t=1393466
an zhuang 	安裝	c=568 d=0.932394 t=1393466
an zhuang ba 	安裝吧	c=1 d=0 t=1393466
an zhuang bao 	安裝包	c=6 d=2.69582e-20 t=1393466
an zhuang cheng xu 	安裝程序	c=1 d=1.70694e-114 t=1393466
an zhuang dao 	安裝到	c=1 d=3.77416e-243 t=1393466
an zhuang guo cheng 	安裝過程	c=1 d=8.19122e-36 t=1393466
an zhuang hao le 	安裝好了	c=1 d=1 t=1382176
an zhuang hou 	安裝後	c=1 d=0 t=1393466
an zhuang le 	安裝了	c=1 d=0 t=1393466
an zhuang pan 	安裝盤	c=1 d=2.18958e-73 t=1393466
an zhuang qi 	安裝器	c=1 d=0 t=1393466
an zhuang shang 	安裝上	c=1 d=0 t=1393466
an zhuang shi 	安裝是	c=1 d=5.7195e-75 t=1393466
an zhuang shi 	安裝時	c=1 d=8.76723e-12 t=1393466
an zhuang wan 	安裝完	c=1 d=4.04916e-100 t=1393466
an zhuang yi xia 	安裝一下	c=1 d=8.28039e-222 t=1393466
an zhuo 	安卓	c=1 d=4.10782e-34 t=1393466
an zi 	案子	c=8 d=1.68426e-45 t=1393466
an zi ran 	按自然	c=1 d=1.8439e-169 t=1393466
ang 	昂	c=2 d=0.00322254 t=1393466
ang gui 	昂貴	c=1 d=9.92822e-122 t=1393466
ang wen 	昂問	c=1 d=3.5571e-17 t=1393466
ao 	凹	c=1 d=9.37995e-42 t=1393466
ao 	嗷	c=1 d=3.91205e-224 t=1393466
ao 	奧	c=22 d=6.80682e-05 t=1393466
ao 	澳	c=1 d=0 t=1393466
ao ba ma 	奧巴馬	c=5 d=1.87252e-115 t=1393466
ao bao 	敖包	c=1 d=2.57505e-304 t=1393466
ao bi 	澳幣	c=0 d=0 t=1393466
ao bu guo 	熬不過	c=1 d=2.73705e-170 t=1393466
ao bu guo ni de 	熬不過你的	c=1 d=2.75077e-169 t=1393466
ao cao 	凹槽	c=1 d=0 t=1393466
ao da li ya 	澳大利亞	c=7 d=0.000617396 t=1393466
ao de 	奧的	c=1 d=6.03839e-125 t=1393466
ao de sai 	奧德賽	c=1 d=1 t=1335282
ao er liang 	奧爾良	c=1 d=6.51069e-158 t=1393466
ao ge 	奧格	c=1 d=0 t=1393466
ao heng li 	奧亨利	c=1 d=1.93335e-50 t=1393466
ao jiao 	傲嬌	c=2 d=0 t=1393466
ao lin pi ke 	奧林匹克	c=1 d=0 t=1393466
ao men 	澳門	c=2 d=1.68143e-172 t=1393466
ao men wan 	澳門玩	c=1 d=1.00793e-181 t=1393466
ao nao 	懊惱	c=0 d=3.64869e-258 t=1393466
ao nao gu zou 	懊惱股走	c=1 d=3.66698e-257 t=1393466
ao ri 	奧日	c=1 d=1 t=1391124
ao shu 	奧術	c=1 d=2.14572e-129 t=1393466
ao te lai si 	奧特萊斯	c=5 d=1.86102e-72 t=1393466
ao xiang 	翱翔	c=1 d=0 t=1393466
ao ye 	熬夜	c=4 d=1.33733 t=1393466
ao yun hui 	奧運會	c=1 d=1.91256e-158 t=1393466
ao zhou 	澳洲	c=11 d=4.09443e-25 t=1393466
ba 	八	c=17 d=0.00194013 t=1393466
ba 	吧	c=2527 d=1.64325 t=1393466
ba 	巴	c=1 d=1 t=1381515
ba 	扒	c=2 d=2.2802e-197 t=1393466
ba 	把	c=3490 d=0.884242 t=1393466
ba 	拔	c=13 d=1.62528e-08 t=1393466
ba 	爸	c=1 d=9.42002e-239 t=1393466
ba 	霸	c=1 d=1 t=1319834
ba ba 	爸爸	c=3 d=2.99816e-94 t=1393466
ba ba guan 	把把關	c=1 d=5.89507e-19 t=1393466
ba bai 	八百	c=1 d=4.01612e-181 t=1393466
ba bai yuan 	八百元	c=1 d=4.03625e-180 t=1393466
ba bei 	八倍	c=1 d=0 t=1393466
ba ben 	把本	c=5 d=3.14726e-19 t=1393466
ba bu de 	巴不得	c=3 d=8.12794e-33 t=1393466
ba cheng 	八成	c=2 d=3.13276e-140 t=1393466
ba chu lai 	拔出來	c=2 d=3.59166e-160 t=1393466
ba ci 	八次	c=1 d=2.05933e-28 t=1393466
ba cuo 	把錯	c=5 d=2.94599e-64 t=1393466
ba da ling 	八達嶺	c=1 d=5.37182e-190 t=1393466
ba dai 	八代	c=1 d=0 t=1393466
ba dai ma 	把代碼	c=1 d=2.96066e-93 t=1393466
ba dao 	霸道	c=0 d=0 t=1393466
ba dian 	八點	c=52 d=6.33685e-05 t=1393466
ba dian ban 	八點半	c=6 d=1.20416e-68 t=1393466
ba dian le 	八點了	c=1 d=4.82073e-05 t=1393466
ba diao 	拔掉	c=5 d=3.85599e-25 t=1393466
ba fen 	八分	c=2 d=8.64392e-103 t=1393466
ba fen zhi yi 	八分之一	c=1 d=2.61672e-287 t=1393466
ba fen zhong 	八分鐘	c=1 d=0 t=1393466
ba gan zi 	八杆子	c=1 d=2.92532e-40 t=1393466
ba ge 	八個	c=7 d=1.90236e-07 t=1393466
ba ge ren 	八個人	c=2 d=0 t=1393466
ba ge ren 	吧個人	c=1 d=0 t=1393466
ba ge yue 	八個月	c=1 d=0 t=1393466
ba gong 	八公	c=0 d=3.2832e-134 t=1393466
ba gong 	罷工	c=3 d=3.50822e-110 t=1393466
ba gong li 	八公裏	c=1 d=3.29965e-133 t=1393466
ba gua 	八卦	c=6 d=3.91601e-89 t=1393466
ba guan 	把關	c=1 d=5.86567e-20 t=1393466
ba hen 	疤痕	c=1 d=3.98019e-45 t=1393466
ba jiao 	八角	c=2 d=6.39924e-211 t=1393466
ba jin zhi 	八進制	c=1 d=0 t=1393466
ba jiu 	八九	c=1 d=4.01404e-27 t=1393466
ba jiu bu li shi 	八九不離十	c=1 d=2.191e-110 t=1393466
ba jiu dian 	吧九點	c=1 d=0 t=1393466
ba jiu ge 	八九個	c=2 d=0 t=1393466
ba jiu ge yue 	八九個月	c=1 d=0 t=1393466
ba kong 	把控	c=1 d=4.69965e-88 t=1393466
ba kong 	把空	c=1 d=4.67621e-88 t=1393466
ba kuai 	八塊	c=1 d=0 t=1393466
ba kuai jiu 	八塊九	c=1 d=0 t=1393466
ba kuai qian 	八塊錢	c=2 d=0 t=1393466
ba la 	巴拉	c=0 d=1.12189e-295 t=1393466
ba le 	拔了	c=1 d=3.03016e-160 t=1393466
ba li 	巴黎	c=1 d=7.74026e-105 t=1393466
ba lian 	把臉	c=0 d=0 t=1393466
ba ling hou 	八零後	c=2 d=4.00205e-80 t=1393466
ba ma 	爸媽	c=2 d=0 t=1393466
ba men 	把門	c=2 d=1.15204e-18 t=1393466
ba na fa 	把拿發	c=1 d=0 t=1393466
ba ni 	把你	c=43 d=0.744532 t=1393466
ba ni de 	把你的	c=1 d=1.40918e-241 t=1393466
ba nian 	八年	c=2 d=0 t=1393466
ba nian lai 	八年來	c=1 d=0 t=1393466
ba qi 	霸氣	c=3 d=7.11603e-57 t=1393466
ba qian 	八千	c=1 d=5.66976e-178 t=1393466
ba qian 	把錢	c=3 d=0 t=1393466
ba qian zi 	八千字	c=1 d=0 t=1393466
ba qu 	八區	c=0 d=4.58874e-14 t=1393466
ba qun 	拔羣	c=1 d=0 t=1393466
ba ren 	把人	c=1 d=0.245367 t=1393466
ba ri 	八日	c=8 d=0.0527523 t=1393466
ba se 	把色	c=1 d=3.46105e-136 t=1393466
ba shi 	八十	c=2 d=1.3627e-171 t=1393466
ba shi 	巴士	c=1 d=1.37727e-60 t=1393466
ba shi du 	八十度	c=1 d=1.36953e-170 t=1393466
ba shou 	把手	c=2 d=1.35282e-76 t=1393466
ba shu 	把書	c=1 d=0 t=1393466
ba si 	八四	c=1 d=5.43743e-127 t=1393466
ba ta 	把他	c=6 d=1.99564e-217 t=1393466
ba ta 	把它	c=34 d=0.0678809 t=1393466
ba ta men 	把它們	c=9 d=1.90495e-23 t=1393466
ba tian 	八天	c=1 d=3.26502e-09 t=1393466
ba tie bi 	把鐵壁	c=1 d=0 t=1393466
ba tuo nv 	吧托女	c=0 d=0 t=1393466
ba tuo nv gei 	吧托女給	c=1 d=0 t=1393466
ba wang 	霸王	c=2 d=0 t=1393466
ba wei 	八位	c=8 d=2.94249e-50 t=1393466
ba wo 	把我	c=50 d=1.31108e-10 t=1393466
ba wo 	把握	c=8 d=1.76127e-07 t=1393466
ba wo de 	把我的	c=4 d=5.5739e-08 t=1393466
ba wo de de 	把我的的	c=1 d=5.60184e-07 t=1393466
ba wo zhu 	把握住	c=3 d=0 t=1393466
ba xi 	巴西	c=3 d=1.80199e-96 t=1393466
ba xia lai 	拔下來	c=1 d=3.9103e-160 t=1393466
ba xiao shi 	八小時	c=4 d=3.36664e-46 t=1393466
ba yue 	八月	c=4 d=0 t=1393466
ba yue fen 	八月份	c=1 d=0 t=1393466
ba zhang 	巴掌	c=1 d=1.49082e-139 t=1393466
ba zhe 	八折	c=4 d=9.17077e-12 t=1393466
ba zhe xie 	把這些	c=2 d=1.78642e-120 t=1393466
ba zhi 	八隻	c=5 d=0 t=1393466
ba zhua yu 	八爪魚	c=3 d=2.10151e-90 t=1393466
ba zi 	靶子	c=1 d=2.68192e-18 t=1393466
bai 	拜	c=7 d=0 t=1393466
bai 	掰	c=5 d=1.60006e-118 t=1393466
bai 	擺	c=5 d=3.83011e-34 t=1393466
bai 	白	c=56 d=0.0598055 t=1393466
bai 	百	c=9 d=4.21598e-76 t=1393466
bai bai 	白白	c=1 d=1.90996e-142 t=1393466
bai ban 	白板	c=3 d=4.13136e-13 t=1393466
bai bei 	百倍	c=2 d=6.03569e-62 t=1393466
bai bei yu 	百倍於	c=1 d=6.06595e-61 t=1393466
bai bian 	白邊	c=1 d=1.78546e-290 t=1393466
bai cai 	白菜	c=5 d=2.19647e-128 t=1393466
bai cai jia 	白菜價	c=3 d=2.08054e-119 t=1393466
bai cao 	百草	c=1 d=1.77405e-09 t=1393466
bai dao 	擺到	c=2 d=7.18295e-167 t=1393466
bai de 	白的	c=4 d=7.14273e-101 t=1393466
bai dian 	白點	c=2 d=5.47462e-17 t=1393466
bai du 	拜讀	c=1 d=0 t=1393466
bai du 	百度	c=83 d=0.0998389 t=1393466
bai du a 	百度啊	c=2 d=0 t=1393466
bai du bai ke 	百度百科	c=3 d=7.24768e-08 t=1393466
bai du di tu 	百度地圖	c=1 d=1.09678e-28 t=1393466
bai du pan 	百度盤	c=2 d=0 t=1393466
bai du yun 	百度雲	c=7 d=3.35623e-39 t=1393466
bai er 	拜耳	c=3 d=7.73228e-182 t=1393466
bai fang 	拜訪	c=2 d=0 t=1393466
bai fang 	擺放	c=1 d=1.54402e-81 t=1393466
bai fen 	百分	c=2 d=1.2095e-120 t=1393466
bai fen bai 	百分百	c=3 d=1.02057e-298 t=1393466
bai fen bi 	百分比	c=13 d=3.37248e-37 t=1393466
bai fen hao 	百分號	c=1 d=1.71695e-124 t=1393466
bai fen zhi 	百分之	c=8 d=0.00113627 t=1393466
bai fen zhi bai 	百分之百	c=2 d=0 t=1393466
bai fen zhi yi 	百分之一	c=4 d=4.16211e-12 t=1393466
bai ge 	百個	c=0 d=4.24708e-133 t=1393466
bai gong 	白宮	c=1 d=0 t=1393466
bai gong li 	百公里	c=2 d=2.86349e-24 t=1393466
bai he 	白盒	c=1 d=0 t=1393466
bai hei 	白黑	c=1 d=0 t=1393466
bai hei hua 	白黑花	c=1 d=0 t=1393466
bai hua 	白花	c=1 d=2.35934e-216 t=1393466
